"Date"	2019-12-28 08:22:26 GMT+05:30
"Average Count [samples]"	400
"Average Function"	Quadratic Mean
"Digitiser Firmware Version"	01.02-00/00
"Digitiser Hardware Version"	04_01/01
"Digitiser Name"	FGM3D TD
"Digitiser Serial Number"	000078
"Profile Settings"	Name: FGM3D/100 (Unit: T). Transformer: [UnitConverter[Factor: 1E-05. Units: V => T]]. Unit: T
"Recording Software Copyright"	Copyright ©  SENSYS 2012 - 2014
"Recording Software Name"	SENSYS FGM3D TD Application
"Recording Software Vendor"	SENSYS GmbH
"Recording Software Version"	01.00-01/00
"Samplerate [Hz]"	400

"Timestamp [ms]"	"X-Axis [T]"	"Y-Axis [T]"	"Z-Axis [T]"	"Absolute Value [T]"
1577521345536	3.71955555E-6	4.01298320E-5	9.37477919E-6	4.13778322E-5
1577521346528	3.71953112E-6	4.01298118E-5	9.37473012E-6	4.13777992E-5
1577521347534	3.71953253E-6	4.01297501E-5	9.37469398E-6	4.13777314E-5
1577521348532	3.71950097E-6	4.01297374E-5	9.37468383E-6	4.13777139E-5
1577521349532	3.71953648E-6	4.01296704E-5	9.37467350E-6	4.13776497E-5
1577521350541	3.71950771E-6	4.01296564E-5	9.37465261E-6	4.13776289E-5
1577521351532	3.71949448E-6	4.01296478E-5	9.37462707E-6	4.13776135E-5
1577521352536	3.71949166E-6	4.01296186E-5	9.37462890E-6	4.13775854E-5
1577521353533	3.71948068E-6	4.01296165E-5	9.37460831E-6	4.13775777E-5
1577521354532	3.71945322E-6	4.01295580E-5	9.37457974E-6	4.13775120E-5
1577521355537	3.71944748E-6	4.01295039E-5	9.37455918E-6	4.13774544E-5
1577521356531	3.71945679E-6	4.01293393E-5	9.37451592E-6	4.13772858E-5
1577521357535	3.71971359E-6	4.01292430E-5	9.37440868E-6	4.13771912E-5
1577521358537	3.72017374E-6	4.01292343E-5	9.37421911E-6	4.13771812E-5
1577521359540	3.72054691E-6	4.01295385E-5	9.37399353E-6	4.13774586E-5
1577521360526	3.72037944E-6	4.01299339E-5	9.37383962E-6	4.13777922E-5
1577521361534	3.71996810E-6	4.01301197E-5	9.37391542E-6	4.13779525E-5
1577521362527	3.71966764E-6	4.01300885E-5	9.37409466E-6	4.13779359E-5
1577521363527	3.71955513E-6	4.01299808E-5	9.37431048E-6	4.13778703E-5
1577521364533	3.71954684E-6	4.01298877E-5	9.37440748E-6	4.13778012E-5
1577521365540	3.71956962E-6	4.01298288E-5	9.37446143E-6	4.13777583E-5
1577521366528	3.71958169E-6	4.01298312E-5	9.37445203E-6	4.13777597E-5
1577521367537	3.71955974E-6	4.01298335E-5	9.37442260E-6	4.13777532E-5
1577521368528	3.71957408E-6	4.01298184E-5	9.37440278E-6	4.13777354E-5
1577521369536	3.71957402E-6	4.01298201E-5	9.37438565E-6	4.13777331E-5
1577521370527	3.71959681E-6	4.01298632E-5	9.37433581E-6	4.13777656E-5
1577521371540	3.71957878E-6	4.01298841E-5	9.37435278E-6	4.13777882E-5
1577521372529	3.71958857E-6	4.01299400E-5	9.37433063E-6	4.13778383E-5
1577521373541	3.71960243E-6	4.01299537E-5	9.37431623E-6	4.13778495E-5
1577521374541	3.71964345E-6	4.01299492E-5	9.37431626E-6	4.13778488E-5
1577521375533	3.71963893E-6	4.01299931E-5	9.37430144E-6	4.13778877E-5
1577521376540	3.71967955E-6	4.01300238E-5	9.37429847E-6	4.13779204E-5
1577521377530	3.71960737E-6	4.01300471E-5	9.37425923E-6	4.13779276E-5
1577521378539	3.71960369E-6	4.01300598E-5	9.37419935E-6	4.13779260E-5
1577521379540	3.71960004E-6	4.01300795E-5	9.37418085E-6	4.13779406E-5
1577521380540	3.71959453E-6	4.01301036E-5	9.37419702E-6	4.13779671E-5
1577521381527	3.71962252E-6	4.01301616E-5	9.37419064E-6	4.13780245E-5
1577521382529	3.71960605E-6	4.01301558E-5	9.37415936E-6	4.13780103E-5
1577521383532	3.71961710E-6	4.01301709E-5	9.37413670E-6	4.13780208E-5
1577521384533	3.71961103E-6	4.01301342E-5	9.37414119E-6	4.13779857E-5
1577521385541	3.71962656E-6	4.01301739E-5	9.37409881E-6	4.13780159E-5
1577521386541	3.71962935E-6	4.01302017E-5	9.37407261E-6	4.13780372E-5
1577521387541	3.71958474E-6	4.01302180E-5	9.37398355E-6	4.13780289E-5
1577521388541	3.71958315E-6	4.01302631E-5	9.37399912E-6	4.13780760E-5
1577521389540	3.71957268E-6	4.01302173E-5	9.37392747E-6	4.13780144E-5
1577521390532	3.71959061E-6	4.01302239E-5	9.37394178E-6	4.13780257E-5
1577521391529	3.71959318E-6	4.01302467E-5	9.37395846E-6	4.13780518E-5
1577521392541	3.71959561E-6	4.01302753E-5	9.37392483E-6	4.13780721E-5
1577521393541	3.71957372E-6	4.01302419E-5	9.37392369E-6	4.13780375E-5
1577521394536	3.71962800E-6	4.01302557E-5	9.37389583E-6	4.13780494E-5
1577521395529	3.71960444E-6	4.01303305E-5	9.37383275E-6	4.13781056E-5
1577521396540	3.71965303E-6	4.01302718E-5	9.37382349E-6	4.13780510E-5
1577521397540	3.71962977E-6	4.01303344E-5	9.37378721E-6	4.13781014E-5
1577521398537	3.71964584E-6	4.01303112E-5	9.37384454E-6	4.13780933E-5
1577521399526	3.71969006E-6	4.01303541E-5	9.37380814E-6	4.13781307E-5
1577521400537	3.71967626E-6	4.01303333E-5	9.37384493E-6	4.13781175E-5
1577521401528	3.71970132E-6	4.01303690E-5	9.37382709E-6	4.13781504E-5
1577521402538	3.71968399E-6	4.01303605E-5	9.37382239E-6	4.13781395E-5
1577521403537	3.71970282E-6	4.01304219E-5	9.37380697E-6	4.13781972E-5
1577521404529	3.71971623E-6	4.01303819E-5	9.37375416E-6	4.13781477E-5
1577521405537	3.71972742E-6	4.01303899E-5	9.37373521E-6	4.13781522E-5
1577521406541	3.71974563E-6	4.01304515E-5	9.37375098E-6	4.13782171E-5
1577521407531	3.71970353E-6	4.01304945E-5	9.37375688E-6	4.13782564E-5
1577521408532	3.71972763E-6	4.01305036E-5	9.37373488E-6	4.13782624E-5
1577521409528	3.71973892E-6	4.01304879E-5	9.37373961E-6	4.13782492E-5
1577521410532	3.71970305E-6	4.01305562E-5	9.37373778E-6	4.13783118E-5
1577521411536	3.71970099E-6	4.01306115E-5	9.37370069E-6	4.13783569E-5
1577521412530	3.71971479E-6	4.01306092E-5	9.37370036E-6	4.13783559E-5
1577521413535	3.71972230E-6	4.01306628E-5	9.37368258E-6	4.13784044E-5
1577521414541	3.71975871E-6	4.01307088E-5	9.37365479E-6	4.13784460E-5
1577521415533	3.71982873E-6	4.01307635E-5	9.37360572E-6	4.13784943E-5
1577521416526	3.71995777E-6	4.01307419E-5	9.37352971E-6	4.13784677E-5
1577521417537	3.72003785E-6	4.01306378E-5	9.37348750E-6	4.13783644E-5
1577521418526	3.71993214E-6	4.01305248E-5	9.37349244E-6	4.13782465E-5
1577521419534	3.71977883E-6	4.01304924E-5	9.37355342E-6	4.13782151E-5
1577521420541	3.71972679E-6	4.01305828E-5	9.37361833E-6	4.13783127E-5
1577521421529	3.71969997E-6	4.01306181E-5	9.37365949E-6	4.13783538E-5
1577521422533	3.71970937E-6	4.01306630E-5	9.37368413E-6	4.13784039E-5
1577521423529	3.71973138E-6	4.01306832E-5	9.37368138E-6	4.13784248E-5
1577521424535	3.71971003E-6	4.01306706E-5	9.37371844E-6	4.13784190E-5
1577521425535	3.71972242E-6	4.01306658E-5	9.37371215E-6	4.13784140E-5
1577521426539	3.71972485E-6	4.01307230E-5	9.37364437E-6	4.13784545E-5
1577521427528	3.71974188E-6	4.01307145E-5	9.37362833E-6	4.13784441E-5
1577521428531	3.71973221E-6	4.01306708E-5	9.37360801E-6	4.13783962E-5
1577521429529	3.71970683E-6	4.01306792E-5	9.37360169E-6	4.13784007E-5
1577521430534	3.71972515E-6	4.01307146E-5	9.37360893E-6	4.13784383E-5
1577521431541	3.71971344E-6	4.01306849E-5	9.37361370E-6	4.13784095E-5
1577521432541	3.71970793E-6	4.01306903E-5	9.37360402E-6	4.13784121E-5
1577521433527	3.71972141E-6	4.01307123E-5	9.37358600E-6	4.13784305E-5
1577521434534	3.71968057E-6	4.01306796E-5	9.37359193E-6	4.13783965E-5
1577521435535	3.71969288E-6	4.01306799E-5	9.37359136E-6	4.13783977E-5
1577521436539	3.71965815E-6	4.01307111E-5	9.37357804E-6	4.13784218E-5
1577521437541	3.71970650E-6	4.01306873E-5	9.37363233E-6	4.13784154E-5
1577521438541	3.71970039E-6	4.01306560E-5	9.37371431E-6	4.13784031E-5
