"Date"	2019-12-25 01:43:09 GMT+05:30
"Average Count [samples]"	400
"Average Function"	Quadratic Mean
"Digitiser Firmware Version"	01.02-00/00
"Digitiser Hardware Version"	04_01/01
"Digitiser Name"	FGM3D TD
"Digitiser Serial Number"	000068
"Profile Settings"	Name: FGM3D/100 (Unit: T), Transformer: [UnitConverter[Factor: 1E-05, Units: V => T]], Unit: T
"Recording Software Copyright"	Copyright ©  SENSYS 2012 - 2014
"Recording Software Name"	SENSYS FGM3D TD Application
"Recording Software Vendor"	SENSYS GmbH
"Recording Software Version"	01.00-01/00
"Samplerate [Hz]"	400

"Timestamp [ms]"	"X-Axis [T]"	"Y-Axis [T]"	"Z-Axis [T]"	"Absolute Value [T]"
1577238188566	4,09538097E-5	1,48770761E-6	4,76886266E-6	4,12573612E-5
1577238189566	4,09537902E-5	1,48770002E-6	4,76883417E-6	4,12573383E-5
1577238190566	4,09537758E-5	1,48771646E-6	4,76883539E-6	4,12573247E-5
1577238191566	4,09538299E-5	1,48768660E-6	4,76888620E-6	4,12573832E-5
1577238192566	4,09537940E-5	1,48767393E-6	4,76885694E-6	4,12573438E-5
1577238193566	4,09537747E-5	1,48765881E-6	4,76890366E-6	4,12573295E-5
1577238194571	4,09537796E-5	1,48765955E-6	4,76891149E-6	4,12573353E-5
1577238195571	4,09537924E-5	1,48768025E-6	4,76892146E-6	4,12573498E-5
1577238196571	4,09537973E-5	1,48767964E-6	4,76894625E-6	4,12573576E-5
1577238197567	4,09537834E-5	1,48769602E-6	4,76893673E-6	4,12573433E-5
1577238198568	4,09538084E-5	1,48770479E-6	4,76895483E-6	4,12573705E-5
1577238199568	4,09537870E-5	1,48770245E-6	4,76891209E-6	4,12573442E-5
1577238200568	4,09537917E-5	1,48767606E-6	4,76890452E-6	4,12573470E-5
1577238201568	4,09538009E-5	1,48768549E-6	4,76889340E-6	4,12573553E-5
1577238202569	4,09537746E-5	1,48765047E-6	4,76889745E-6	4,12573283E-5
1577238203569	4,09537653E-5	1,48770321E-6	4,76887460E-6	4,12573184E-5
1577238204570	4,09537929E-5	1,48762516E-6	4,76889559E-6	4,12573454E-5
1577238205567	4,09537858E-5	1,48764126E-6	4,76886255E-6	4,12573351E-5
1577238206568	4,09537874E-5	1,48767705E-6	4,76885325E-6	4,12573369E-5
1577238207569	4,09537787E-5	1,48763558E-6	4,76885350E-6	4,12573268E-5
1577238208569	4,09537905E-5	1,48765449E-6	4,76884650E-6	4,12573384E-5
1577238209565	4,09537614E-5	1,48766267E-6	4,76888188E-6	4,12573139E-5
1577238210566	4,09538144E-5	1,48767024E-6	4,76887972E-6	4,12573665E-5
1577238211566	4,09537999E-5	1,48770406E-6	4,76885625E-6	4,12573506E-5
1577238212571	4,09537811E-5	1,48771356E-6	4,76880891E-6	4,12573269E-5
1577238213571	4,09538070E-5	1,48769348E-6	4,76878399E-6	4,12573490E-5
1577238214565	4,09537818E-5	1,48767118E-6	4,76880200E-6	4,12573252E-5
1577238215565	4,09537740E-5	1,48766082E-6	4,76879730E-6	4,12573165E-5
1577238216565	4,09538087E-5	1,48767686E-6	4,76878505E-6	4,12573502E-5
1577238217565	4,09538016E-5	1,48766627E-6	4,76878460E-6	4,12573427E-5
1577238218571	4,09538189E-5	1,48770383E-6	4,76877217E-6	4,12573597E-5
1577238219566	4,09537815E-5	1,48770713E-6	4,76876249E-6	4,12573216E-5
1577238220574	4,09537861E-5	1,48767144E-6	4,76876425E-6	4,12573251E-5
1577238221566	4,09538104E-5	1,48767321E-6	4,76877955E-6	4,12573511E-5
1577238222566	4,09538419E-5	1,48766306E-6	4,76879376E-6	4,12573836E-5
1577238223566	4,09538087E-5	1,48765078E-6	4,76875748E-6	4,12573460E-5
1577238224567	4,09538389E-5	1,48765887E-6	4,76878589E-6	4,12573795E-5
1577238225580	4,09538442E-5	1,48768472E-6	4,76875109E-6	4,12573818E-5
1577238226566	4,09538433E-5	1,48768240E-6	4,76877053E-6	4,12573830E-5
1577238227565	4,09538561E-5	1,48766160E-6	4,76874648E-6	4,12573922E-5
1577238228566	4,09538551E-5	1,48766318E-6	4,76880964E-6	4,12573985E-5
1577238229566	4,09538500E-5	1,48769184E-6	4,76877777E-6	4,12573908E-5
1577238230566	4,09538650E-5	1,48766797E-6	4,76881860E-6	4,12574095E-5
1577238231566	4,09538472E-5	1,48765689E-6	4,76881244E-6	4,12573908E-5
1577238232566	4,09537930E-5	1,48766464E-6	4,76880646E-6	4,12573366E-5
1577238233566	4,09538151E-5	1,48764501E-6	4,76877954E-6	4,12573547E-5
1577238234567	4,09538320E-5	1,48766180E-6	4,76878861E-6	4,12573732E-5
1577238235567	4,09537962E-5	1,48764800E-6	4,76877110E-6	4,12573350E-5
1577238236568	4,09538030E-5	1,48765151E-6	4,76877629E-6	4,12573426E-5
1577238237568	4,09537865E-5	1,48767487E-6	4,76880663E-6	4,12573305E-5
1577238238571	4,09537830E-5	1,48766384E-6	4,76882063E-6	4,12573283E-5
1577238239572	4,09537692E-5	1,48767634E-6	4,76881343E-6	4,12573142E-5
1577238240568	4,09537430E-5	1,48767879E-6	4,76881014E-6	4,12572879E-5
1577238241568	4,09537873E-5	1,48770468E-6	4,76878649E-6	4,12573301E-5
1577238242568	4,09537913E-5	1,48764335E-6	4,76884296E-6	4,12573384E-5
1577238243568	4,09537819E-5	1,48770514E-6	4,76880290E-6	4,12573266E-5
1577238244567	4,09537406E-5	1,48771263E-6	4,76880494E-6	4,12572862E-5
1577238245567	4,09537349E-5	1,48768461E-6	4,76882063E-6	4,12572813E-5
1577238246568	4,09537346E-5	1,48771693E-6	4,76885202E-6	4,12572858E-5
1577238247567	4,09537498E-5	1,48769255E-6	4,76887557E-6	4,12573027E-5
1577238248565	4,09537474E-5	1,48770740E-6	4,76886072E-6	4,12572992E-5
1577238249571	4,09537579E-5	1,48772332E-6	4,76886781E-6	4,12573110E-5
1577238250571	4,09537420E-5	1,48771160E-6	4,76888392E-6	4,12572966E-5
1577238251571	4,09537138E-5	1,48769639E-6	4,76890864E-6	4,12572709E-5
1577238252570	4,09537771E-5	1,48771329E-6	4,76891591E-6	4,12573352E-5
1577238253565	4,09537503E-5	1,48767302E-6	4,76887777E-6	4,12573027E-5
1577238254566	4,09537811E-5	1,48766924E-6	4,76885228E-6	4,12573302E-5
1577238255566	4,09537690E-5	1,48770110E-6	4,76891342E-6	4,12573265E-5
1577238256566	4,09537807E-5	1,48771903E-6	4,76890588E-6	4,12573379E-5
1577238257565	4,09537487E-5	1,48770123E-6	4,76891093E-6	4,12573060E-5
1577238258571	4,09537649E-5	1,48766638E-6	4,76888267E-6	4,12573175E-5
1577238259565	4,09537902E-5	1,48767711E-6	4,76886212E-6	4,12573407E-5
1577238260566	4,09538081E-5	1,48768265E-6	4,76884566E-6	4,12573567E-5
1577238261566	4,09538359E-5	1,48767079E-6	4,76884837E-6	4,12573843E-5
1577238262566	4,09538008E-5	1,48763040E-6	4,76886222E-6	4,12573495E-5
1577238263566	4,09538248E-5	1,48768572E-6	4,76887293E-6	4,12573766E-5
1577238264566	4,09538471E-5	1,48766762E-6	4,76887290E-6	4,12573981E-5
1577238265566	4,09538324E-5	1,48767265E-6	4,76883428E-6	4,12573792E-5
1577238266567	4,09538511E-5	1,48768133E-6	4,76884535E-6	4,12573993E-5
1577238267567	4,09538260E-5	1,48767916E-6	4,76885890E-6	4,12573760E-5
1577238268568	4,09538102E-5	1,48768639E-6	4,76888926E-6	4,12573641E-5
1577238269567	4,09537946E-5	1,48768329E-6	4,76886824E-6	4,12573459E-5
1577238270568	4,09537933E-5	1,48768033E-6	4,76890000E-6	4,12573482E-5
1577238271568	4,09538320E-5	1,48772118E-6	4,76890829E-6	4,12573891E-5
